coach,win_pct,draw_pct,loss_pct
André Villas-Boas,0.5370370370370371,0.2222222222222222,0.24074074074074073
Ange Postecoglou,0.40789473684210525,0.14473684210526316,0.4473684210526316
Antonio Conte,0.5714285714285714,0.16071428571428573,0.26785714285714285
George Graham,0.3103448275862069,0.3103448275862069,0.3793103448275862
Glen Hoddle,0.3595505617977528,0.20224719101123595,0.43820224719101125
Harry Redknapp,0.4930555555555556,0.2569444444444444,0.25
Interim Manager*,0.39215686274509803,0.13725490196078433,0.47058823529411764
Jacques Santini,0.2727272727272727,0.36363636363636365,0.36363636363636365
José Mourinho,0.46551724137931033,0.2413793103448276,0.29310344827586204
Juande Ramos,0.2857142857142857,0.3142857142857143,0.4
Martin Jol,0.415929203539823,0.26548672566371684,0.3185840707964602
Mauricio Pochettino,0.5594059405940595,0.21287128712871287,0.22772277227722773
Nuno Espírito Santo,0.5,0.0,0.5
Thomas Frank,0.2692307692307692,0.3076923076923077,0.4230769230769231
Tim Sherwood,0.5909090909090909,0.13636363636363635,0.2727272727272727
